X,Y,Z
639869.06,479235.6,104.23
639863.72,479234.49,104.12
639865.34,479236.04,104.24
639860.75,479236.51,104.21
639864.4,479238.53,104.21
639844.87,479233.55,104.17
639850.51,479236.64,104.25
639834.95,479233.28,104.68
639866.03,479241.66,104.22
639863.44,479241.4,104.32
639839.11,479235.75,104.27
639841.35,479236.65,104.27
639831.2,479234.3,107.93
639827.34,479233.6,106.42
639864.49,479243.61,104.23
639827.55,479234.36,108.52
639849.21,479240.52,104.32
639851.95,479241.26,104.3
639869.18,479245.9,103.92
639830.14,479235.69,104.77
639820.2,479233.78,104.43
639839.02,479239.62,104.29
639848.25,479242.1,104.32
639861.44,479245.66,104.26
639825.1,479236.24,104.83
639831.89,479238.06,105.86
639861.51,479246.04,104.32
639863.9,479246.68,104.26
639828.69,479237.97,105.92
639856.71,479245.51,104.3
639821.77,479236.49,104.53
639857.61,479246.14,104.28
639850.69,479244.65,104.35
639799.15,479232.23,104.06
639803.57,479233.42,104.2
639830.08,479240.56,104.34
639835.86,479242.11,104.35
639865.73,479250.15,104.01
639808.96,479235.95,104.85
639823.89,479239.96,104.54
639793.27,479232.3,104.26
639825.35,479240.93,104.49
639842.21,479245.46,104.39
639806.14,479236.07,104.27
639838.13,479245.33,104.36
639786.59,479231.8,103.83
639850.99,479249.11,104.31
639855.61,479251.06,104.58
639791.83,479234.11,104.03
639848.04,479249.22,104.3
639788.91,479233.7,103.93
639822.63,479242.76,104.59
639826.48,479243.8,104.51
639841.07,479247.72,104.44
639796.47,479236.01,104.13
639813.25,479240.52,104.59
639865.4,479254.55,104.03
639868.08,479255.27,104.11
639799.12,479237.43,104.21
639836.64,479247.51,104.35
639862.95,479254.98,104.05
639779.31,479233.22,103.94
639803.07,479239.61,104.42
639806.51,479240.54,104.41
639834.29,479248.0,104.35
639855.18,479253.88,104.27
639808.37,479241.7,104.37
639857.12,479255.71,104.19
639765.07,479231.31,104.01
639801.77,479241.17,104.5
639818.35,479245.62,104.74
639821.0,479246.33,104.7
639859.69,479256.72,104.2
639810.86,479244.31,104.54
639837.79,479251.53,107.64
639797.64,479241.14,104.25
639851.42,479255.58,104.25
639781.96,479237.29,103.98
639792.37,479240.09,104.24
639764.85,479232.99,104.06
639841.57,479253.59,104.41
639756.55,479231.15,103.34
639783.78,479238.46,104.05
639856.36,479257.94,104.23
639864.29,479260.4,104.06
639801.27,479243.82,104.52
639771.44,479236.07,104.11
639781.91,479238.88,103.99
639774.57,479237.27,104.11
639833.34,479253.04,104.35
639835.97,479253.75,104.49
639838.29,479254.37,104.51
639854.95,479258.84,104.23
639797.27,479243.66,104.58
639821.06,479250.04,104.57
639757.95,479233.36,103.54
639791.14,479242.27,104.23
639862.59,479261.44,104.16
639754.11,479232.58,103.03
